"@timestamp",message,"system_name"
"Nov 1, 2022 @ 11:25:51.089","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc4","-"
"Nov 1, 2022 @ 11:25:51.088","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc4","-"
"Nov 1, 2022 @ 11:25:45.723","Divert decision (False) for 880000425951 @ Divert_SPS08_HighwayFeeder",sps08
"Nov 1, 2022 @ 11:25:17.058","Divert decision (False) for 880000425951 @ Divert_SPS09_HighwayFeeder",sps09
"Nov 1, 2022 @ 11:24:52.711","Divert decision (False) for 880000425951 @ Divert_SPS10_HighwayFeeder",sps10
"Nov 1, 2022 @ 11:24:30.449","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Discharge1","-"
"Nov 1, 2022 @ 11:24:30.448","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Discharge1","-"
"Nov 1, 2022 @ 11:23:59.330","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 11:23:59.330","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 11:22:26.333","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 11:22:26.333","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 11:20:08.962","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 11:20:08.962","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 11:18:50.098","Divert decision (True) for 880000425951 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 1, 2022 @ 11:18:32.978","Divert decision (False) for 880000425951 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 1, 2022 @ 11:18:04.450","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 11:18:04.449","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 11:16:48.973","Divert decision (True) for 880000425951 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 1, 2022 @ 11:16:31.337","Divert decision (False) for 880000425951 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 1, 2022 @ 11:15:56.623","Divert decision (True) for 880000425951 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 1, 2022 @ 11:15:37.323","Divert decision (False) for 880000425951 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 1, 2022 @ 11:13:51.438","Divert decision (True) for 880000425951 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 1, 2022 @ 11:13:04.792","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 11:13:04.791","Divert decision (True) for 880000425951 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 11:12:39.772","Divert decision (True) for 880000425951 @ Divert_SPS06_HighwayFeeder",sps06
"Nov 1, 2022 @ 11:12:24.712","Divert decision (False) for 880000425951 @ Divert_SPS07_HighwayFeeder",sps07
"Nov 1, 2022 @ 11:12:06.953","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc4","-"
"Nov 1, 2022 @ 11:12:06.953","Divert decision (False) for 880000425951 @ Divert_ToteLoop_Recirc4","-"
"Nov 1, 2022 @ 11:12:01.287","Divert decision (False) for 880000425951 @ Divert_SPS08_HighwayFeeder",sps08
"Nov 1, 2022 @ 11:11:43.170","Divert decision (False) for 880000425951 @ Divert_SPS09_HighwayFeeder",sps09
"Nov 1, 2022 @ 11:11:16.343","Divert decision (True) for 880000425951 @ Divert_SPS10_HighwayFeeder",sps10
