"@timestamp",message,"system_name"
"Feb 2, 2023 @ 10:12:43.815","reason for wakeup: Divert decision (True) for D0106690 @ Divert_SPS02_HighwayFeeder",sps02
"Feb 2, 2023 @ 10:12:31.538","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS01_HighwayFeeder",sps01
"Feb 2, 2023 @ 10:10:42.596","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS05_HighwayFeeder",sps05
"Feb 2, 2023 @ 10:10:31.057","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS04_HighwayFeeder",sps04
"Feb 2, 2023 @ 10:10:19.758","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS03_HighwayFeeder",sps03
"Feb 2, 2023 @ 10:10:08.485","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS02_HighwayFeeder",sps02
"Feb 2, 2023 @ 10:09:51.948","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS01_HighwayFeeder",sps01
"Feb 2, 2023 @ 10:07:59.971","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS05_HighwayFeeder",sps05
"Feb 2, 2023 @ 10:07:49.398","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS04_HighwayFeeder",sps04
"Feb 2, 2023 @ 10:07:37.945","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS03_HighwayFeeder",sps03
"Feb 2, 2023 @ 10:07:26.417","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS02_HighwayFeeder",sps02
"Feb 2, 2023 @ 10:07:12.611","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS01_HighwayFeeder",sps01
"Feb 2, 2023 @ 10:05:17.163","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS05_HighwayFeeder",sps05
"Feb 2, 2023 @ 10:05:06.416","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS04_HighwayFeeder",sps04
"Feb 2, 2023 @ 10:04:54.836","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS03_HighwayFeeder",sps03
"Feb 2, 2023 @ 10:04:43.892","reason for wakeup: Divert decision (False) for D0106690 @ Divert_SPS02_HighwayFeeder",sps02
