@timestamp,message,system_name
"May 5, 2023 @ 14:30:00.566",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge2,-
"May 5, 2023 @ 14:30:00.566",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge2,-
"May 5, 2023 @ 14:29:43.604",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:29:43.603",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:28:53.693",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:28:53.692",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:27:30.957",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:27:30.957",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:26:56.514",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 14:26:42.411",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 14:26:30.676",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:26:30.675",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:26:27.024",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 14:25:58.318",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 14:25:34.310",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 14:25:15.825",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:25:15.824",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:24:42.123",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:24:42.123",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:22:59.587",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:22:59.587",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:22:40.662",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 14:22:21.580",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 14:22:05.053",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:22:05.052",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:19:01.544",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:19:01.544",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:18:42.052",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 14:18:24.776",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 14:18:12.841",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:18:12.841",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:16:48.605",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:16:48.605",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:16:12.848",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 14:15:57.785",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 14:15:45.948",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:15:45.947",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:15:38.544",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 14:15:02.800",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 14:14:31.686",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 14:14:11.207",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:14:11.206",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:13:12.706",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:13:12.706",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:08:37.345",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:08:37.344",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 14:08:23.286",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
"May 5, 2023 @ 14:08:08.810",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS07_HighwayFeeder,sps07
"May 5, 2023 @ 14:07:55.631",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:07:55.631",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc4,-
"May 5, 2023 @ 14:07:46.089",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS08_HighwayFeeder,sps08
"May 5, 2023 @ 14:07:24.092",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS09_HighwayFeeder,sps09
"May 5, 2023 @ 14:06:58.302",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS10_HighwayFeeder,sps10
"May 5, 2023 @ 14:01:50.449",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:01:50.449",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Discharge1,-
"May 5, 2023 @ 14:00:37.686",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 14:00:37.686",reason for wakeup: Divert decision (True) for 880000436682 @ Divert_ToteLoop_Recirc3,-
"May 5, 2023 @ 13:58:31.513",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:58:31.513",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_ToteLoop_Recirc5,-
"May 5, 2023 @ 13:58:17.347",reason for wakeup: Divert decision (False) for 880000436682 @ Divert_SPS06_HighwayFeeder,sps06
