"@timestamp",message,"tote_id","location_id"
"Nov 16, 2022 @ 15:11:07.031","Tote 880000404019 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000404019,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 15:11:07.021","Tote 880000491623 arrived at interchange point: Divert_ToteLoop_Recirc1",880000491623,"Divert_ToteLoop_Recirc1"
"Nov 16, 2022 @ 15:11:06.687","Tote 770000509129 arrived at discharge point: Divert_ToteLoop_Discharge1",770000509129,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 15:11:06.085","Tote 770000503508 arrived at discharge point: Divert_ToteLoop_Discharge2",770000503508,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 15:11:05.245","Tote 770000603702 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000603702,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 15:11:04.824","Tote 880000425469 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000425469,"Divert_SPS09_HighwayFeeder"
"Nov 16, 2022 @ 15:11:04.456","Tote 880000427724 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000427724,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 15:11:03.448","Tote 770000549462 arrived at discharge point: Divert_ToteLoop_Discharge1",770000549462,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 15:11:03.246","Tote 880000478887 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000478887,"Divert_SPS01_HighwayFeeder"
"Nov 16, 2022 @ 15:11:01.775","Tote 880000403681 arrived at interchange point: Divert_ToteLoop_Recirc3",880000403681,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 15:11:01.536","Tote 880000424299 arrived at discharge point: Divert_ToteLoop_Discharge1",880000424299,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 15:11:01.502","Tote 770000580813 arrived at discharge point: Divert_ToteLoop_Discharge2",770000580813,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 15:11:01.278","Tote 880000410302 arrived at interchange point: Divert_ToteLoop_Recirc2",880000410302,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 15:11:01.053","Tote 880000472557 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",880000472557,"Divert_SPS02_HighwayFeeder"
"Nov 16, 2022 @ 15:11:00.925","Tote 880000491558 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000491558,"Divert_SPS04_HighwayFeeder"
"Nov 16, 2022 @ 15:11:00.240","Tote 770000530116 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000530116,"Divert_SPS09_HighwayFeeder"
"Nov 16, 2022 @ 15:10:59.507","Tote 880000438556 arrived at discharge point: Divert_ToteLoop_Discharge2",880000438556,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 15:10:59.217","Tote 770000531101 arrived at interchange point: Divert_ToteLoop_Recirc4",770000531101,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 15:10:58.706","Tote 770000545838 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000545838,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 15:10:58.610","Tote 880000419989 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000419989,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 15:10:58.457","Tote ???????????? arrived at discharge point: Divert_ToteLoop_Discharge1","????????????","Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 15:10:57.999","Tote 770000593406 arrived at interchange point: Divert_ToteLoop_Recirc3",770000593406,"Divert_ToteLoop_Recirc3"
"Nov 16, 2022 @ 15:10:57.667","Tote 880000453107 arrived at interchange point: Divert_ToteLoop_Recirc2",880000453107,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 15:10:57.665","Tote 770000557623 arrived at discharge point: Divert_ToteLoop_Discharge2",770000557623,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 15:10:57.425","Tote 880000403872 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000403872,"Divert_SPS07_HighwayFeeder"
"Nov 16, 2022 @ 15:10:57.101","Tote 880000407281 arrived at interchange point: Divert_ToteLoop_Recirc4",880000407281,"Divert_ToteLoop_Recirc4"
"Nov 16, 2022 @ 15:10:56.818","Tote 770000536778 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",770000536778,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 15:10:56.001","Tote 770000531101 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000531101,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 15:10:55.685","Tote 880000437302 arrived at discharge point: Divert_ToteLoop_Discharge2",880000437302,"Divert_ToteLoop_Discharge2"
"Nov 16, 2022 @ 15:10:55.187","Tote 880000442647 arrived at interchange point: Divert_ToteLoop_Recirc2",880000442647,"Divert_ToteLoop_Recirc2"
"Nov 16, 2022 @ 15:10:54.928","Tote 880000465317 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000465317,"Divert_SPS10_HighwayFeeder"
"Nov 16, 2022 @ 15:10:54.659","Tote 880000429303 arrived at discharge point: Divert_ToteLoop_Discharge1",880000429303,"Divert_ToteLoop_Discharge1"
"Nov 16, 2022 @ 15:10:54.159","Tote 880000412408 arrived at autoshuttle divert: Divert_SPS06_HighwayFeeder",880000412408,"Divert_SPS06_HighwayFeeder"
"Nov 16, 2022 @ 15:10:54.028","Tote 880000407281 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",880000407281,"Divert_SPS08_HighwayFeeder"
"Nov 16, 2022 @ 15:10:53.598","Tote 880000491145 arrived at discharge point: Divert_ToteLoop_Discharge2",880000491145,"Divert_ToteLoop_Discharge2"
