"@timestamp",message,"tote_id","location_id"
"May 10, 2023 @ 09:12:22.751","Tote 880000491705 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000491705,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 09:12:20.872","Tote 770000599588 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000599588,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:18.516","Tote 880000400931 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000400931,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:17.402","Tote 880000490257 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000490257,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 09:12:16.390","Tote 880000416084 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000416084,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:14.780","Tote 770000617204 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000617204,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 09:12:14.178","Tote ???????????? arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder","????????????","Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:13.193","Tote 770000545659 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",770000545659,"Divert_SPS07_HighwayFeeder"
"May 10, 2023 @ 09:12:12.208","Tote 880000401686 arrived at autoshuttle divert: Divert_SPS03_HighwayFeeder",880000401686,"Divert_SPS03_HighwayFeeder"
"May 10, 2023 @ 09:12:11.956","Tote 770000570180 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",770000570180,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:11.739","Tote ???????????? arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder","????????????","Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 09:12:11.365","Tote 770000102636 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000102636,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 09:12:10.719","Tote 880000470077 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000470077,"Divert_SPS07_HighwayFeeder"
"May 10, 2023 @ 09:12:10.200","Tote 770000564641 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",770000564641,"Divert_SPS04_HighwayFeeder"
"May 10, 2023 @ 09:12:09.784","Tote 770000100618 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000100618,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 09:12:09.302","Tote 770000505967 arrived at autoshuttle divert: Divert_SPS02_HighwayFeeder",770000505967,"Divert_SPS02_HighwayFeeder"
"May 10, 2023 @ 09:12:08.897","Tote 880000469727 arrived at autoshuttle divert: Divert_SPS07_HighwayFeeder",880000469727,"Divert_SPS07_HighwayFeeder"
"May 10, 2023 @ 09:12:08.371","Tote 880000439008 arrived at autoshuttle divert: Divert_SPS01_HighwayFeeder",880000439008,"Divert_SPS01_HighwayFeeder"
"May 10, 2023 @ 09:12:08.361","Tote 880000402923 arrived at autoshuttle divert: Divert_SPS09_HighwayFeeder",880000402923,"Divert_SPS09_HighwayFeeder"
"May 10, 2023 @ 09:12:07.798","Tote 880000429419 arrived at autoshuttle divert: Divert_SPS10_HighwayFeeder",880000429419,"Divert_SPS10_HighwayFeeder"
"May 10, 2023 @ 09:12:07.493","Tote 770000577565 arrived at autoshuttle divert: Divert_SPS08_HighwayFeeder",770000577565,"Divert_SPS08_HighwayFeeder"
"May 10, 2023 @ 09:12:07.287","Tote 880000473557 arrived at autoshuttle divert: Divert_SPS04_HighwayFeeder",880000473557,"Divert_SPS04_HighwayFeeder"
