"@timestamp",message,"system_name"
"Nov 1, 2022 @ 08:23:44.204","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 08:23:44.204","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 08:20:57.378","Divert decision (True) for 880000491655 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 1, 2022 @ 08:20:37.470","Divert decision (False) for 880000491655 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 1, 2022 @ 08:20:22.723","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc6","-"
"Nov 1, 2022 @ 08:20:22.722","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc6","-"
"Nov 1, 2022 @ 08:20:16.036","Divert decision (False) for 880000491655 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 1, 2022 @ 08:19:10.114","Divert decision (True) for 880000491655 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 1, 2022 @ 08:18:01.627","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 08:18:01.627","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 08:17:46.780","Divert decision (False) for 880000491655 @ Divert_SPS06_HighwayFeeder",sps06
"Nov 1, 2022 @ 08:17:31.740","Divert decision (False) for 880000491655 @ Divert_SPS07_HighwayFeeder",sps07
"Nov 1, 2022 @ 08:17:02.144","Divert decision (True) for 880000491655 @ Divert_SPS08_HighwayFeeder",sps08
"Nov 1, 2022 @ 08:16:23.510","Divert decision (True) for 880000491655 @ Divert_SPS09_HighwayFeeder",sps09
"Nov 1, 2022 @ 08:15:54.084","Divert decision (True) for 880000491655 @ Divert_SPS10_HighwayFeeder",sps10
"Nov 1, 2022 @ 08:15:36.696","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Discharge1","-"
"Nov 1, 2022 @ 08:15:36.696","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Discharge1","-"
"Nov 1, 2022 @ 08:15:05.790","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 08:15:05.789","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 08:14:11.028","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 08:14:11.028","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc5","-"
"Nov 1, 2022 @ 08:13:41.722","Divert decision (True) for 880000491655 @ Divert_SPS06_HighwayFeeder",sps06
"Nov 1, 2022 @ 08:13:13.716","Divert decision (True) for 880000491655 @ Divert_SPS07_HighwayFeeder",sps07
"Nov 1, 2022 @ 08:12:54.270","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 08:12:54.270","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc3","-"
"Nov 1, 2022 @ 08:11:34.606","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 08:11:34.605","Divert decision (True) for 880000491655 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 08:09:10.307","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 08:09:10.306","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 08:06:46.862","Divert decision (False) for 880000491655 @ Divert_SPS01_HighwayFeeder",sps01
"Nov 1, 2022 @ 08:06:23.790","Divert decision (True) for 880000491655 @ Divert_SPS02_HighwayFeeder",sps02
"Nov 1, 2022 @ 08:05:07.586","Divert decision (True) for 880000491655 @ Divert_SPS03_HighwayFeeder",sps03
"Nov 1, 2022 @ 08:04:46.094","Divert decision (False) for 880000491655 @ Divert_SPS04_HighwayFeeder",sps04
"Nov 1, 2022 @ 08:04:25.926","Divert decision (False) for 880000491655 @ Divert_SPS05_HighwayFeeder",sps05
"Nov 1, 2022 @ 08:04:15.796","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 08:04:15.795","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc2","-"
"Nov 1, 2022 @ 08:02:16.050","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
"Nov 1, 2022 @ 08:02:16.050","Divert decision (False) for 880000491655 @ Divert_ToteLoop_Recirc1","-"
