"@timestamp",message
"Nov 10, 2022 @ 14:16:51.481","Divert decision (True) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 14:16:51.480","Divert decision (True) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 14:16:41.919","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 14:16:41.918","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 14:16:30.095","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 14:16:30.094","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 14:12:19.789","Divert decision (True) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 14:11:51.413","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 14:10:50.953","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 14:10:50.953","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 14:10:41.281","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 14:10:41.281","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 14:10:30.591","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 14:10:30.590","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 14:09:41.029","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 14:09:37.623","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 14:09:37.623","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 14:07:18.321","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 14:06:54.868","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 14:06:39.322","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 14:00:24.711","Divert decision (True) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 14:00:21.491","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 14:00:21.491","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:57:07.588","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 13:56:53.376","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 13:56:37.882","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 13:56:20.737","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:56:20.737","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:53:44.421","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 13:53:30.384","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 13:53:15.075","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
"Nov 10, 2022 @ 13:52:58.714","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:52:58.714","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:48:49.147","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:48:49.147","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:48:23.777","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:47:55.396","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 13:46:54.689","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:46:54.688","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:46:44.209","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:46:44.209","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:46:16.939","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:46:16.938","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:45:21.147","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 13:45:17.228","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:45:17.227","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:38:54.736","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:38:54.735","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:38:24.718","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:37:56.483","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 13:36:55.963","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:36:55.962","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:36:44.974","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:36:44.973","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:36:35.692","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:36:35.692","Divert decision (True) for 31257975 @ Divert_ToteLoop_Recirc2"
"Nov 10, 2022 @ 13:36:02.428","Divert decision (False) for 31257975 @ Divert_SPS03_HighwayFeeder"
"Nov 10, 2022 @ 13:34:31.094","Divert decision (False) for 31257975 @ Divert_SPS07_HighwayFeeder"
"Nov 10, 2022 @ 13:33:29.448","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:33:29.447","Divert decision (False) for 31257975 @ Divert_ToteLoop_Jackpot"
"Nov 10, 2022 @ 13:33:19.970","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:33:19.969","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge2"
"Nov 10, 2022 @ 13:32:59.225","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:32:59.224","Divert decision (False) for 31257975 @ Divert_ToteLoop_Discharge1"
"Nov 10, 2022 @ 13:31:45.457","Divert decision (False) for 31257975 @ Divert_SPS02_HighwayFeeder"
"Nov 10, 2022 @ 13:31:42.209","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:31:42.209","Divert decision (False) for 31257975 @ Divert_ToteLoop_Recirc1"
"Nov 10, 2022 @ 13:28:46.412","Divert decision (False) for 31257975 @ Divert_SPS08_HighwayFeeder"
"Nov 10, 2022 @ 13:28:32.392","Divert decision (False) for 31257975 @ Divert_SPS06_HighwayFeeder"
"Nov 10, 2022 @ 13:28:17.050","Divert decision (False) for 31257975 @ Divert_SPS04_HighwayFeeder"
